City,"Population Estimates, July 1 2021, (V2021)","Population estimates base, April 1, 2020, (V2021)","Population, percent change - April 1, 2020 (estimates base) to July 1, 2021, (V2021)","Population, Census, April 1, 2020","Population, Census, April 1, 2010","Persons under 5 years, percent","Persons under 18 years, percent","Persons 65 years and over, percent","Female persons, percent","White alone, percent","Black or African American alone, percent","American Indian and Alaska Native alone, percent","Asian alone, percent","Native Hawaiian and Other Pacific Islander alone, percent","Two or More Races, percent","Hispanic or Latino, percent","White alone, not Hispanic or Latino, percent","Veterans, 2017-2021","Foreign born persons, percent, 2017-2021","Owner-occupied housing unit rate, 2017-2021","Median value of owner-occupied housing units, 2017-2021","Median selected monthly owner costs -with a mortgage, 2017-2021","Median selected monthly owner costs -without a mortgage, 2017-2021","Median gross rent, 2017-2021","Households, 2017-2021","Persons per household, 2017-2021","Living in same house 1 year ago, percent of persons age 1 year+, 2017-2021","Language other than English spoken at home, percent of persons age 5 years+, 2017-2021","Households with a computer, percent, 2017-2021","Households with a broadband Internet subscription, percent, 2017-2021","High school graduate or higher, percent of persons age 25 years+, 2017-2021","Bachelor's degree or higher, percent of persons age 25 years+, 2017-2021","With a disability, under age 65 years, percent, 2017-2021","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2017-2021","In civilian labor force, female, percent of population age 16 years+, 2017-2021","Total accommodation and food services sales, 2017 ($1,000)","Total health care and social assistance receipts/revenue, 2017 ($1,000)","Total transportation and warehousing receipts/revenue, 2017 ($1,000)","Total retail sales, 2017 ($1,000)","Total retail sales per capita, 2017","Mean travel time to work (minutes), workers age 16 years+, 2017-2021","Median household income (in 2021 dollars), 2017-2021","Per capita income in past 12 months (in 2021 dollars), 2017-2021","Persons in poverty, percent","All employer firms, Reference year 2017","Men-owned employer firms, Reference year 2017","Women-owned employer firms, Reference year 2017","Minority-owned employer firms, Reference year 2017","Nonminority-owned employer firms, Reference year 2017","Veteran-owned employer firms, Reference year 2017","Nonveteran-owned employer firms, Reference year 2017","Population per square mile, 2020","Population per square mile, 2010","Land area in square miles, 2020","Land area in square miles, 2010",FIPS Code
Los Angeles,3849297,3893986,-0.011,3898747,3792621,0.055,0.203,0.129,0.502,0.449,0.086,0.009,0.117,0.002,0.098,0.484,0.281,77732,0.362,0.369,705900,2961,805,1641,1384851,2.75,0.89,0.581,0.943,0.883,0.784,0.362,0.065,0.12,0.666,0.608,14223608,34620864,17644754,50763630,12771,31.6,69778,39378,0.166,99177,58993,20761,29808,61447,3210,88853,8304.2,8092.3,469.49,468.67,644000
Honolulu,1000890,1016508,-0.015,1016508,953207,0.059,0.21,0.188,0.494,0.213,0.027,0.003,0.421,0.1,0.236,0.104,0.176,71239,0.195,0.584,726800,2787,648,1870,330393,2.96,0.861,0.268,0.942,0.898,0.927,0.362,0.062,0.043,0.605,0.592,6805400,7522451,5107362,14266055,14454,27.9,92600,40339,0.1,16295,8927,3381,9389,4403,S,12868,1692.4,1586.7,600.63,600.74,15003
San Diego,1381611,1385922,-0.003,1386932,1307402,0.056,0.196,0.133,0.49,0.582,0.06,0.006,0.172,0.005,0.103,0.301,0.42,77755,0.251,0.477,664000,2801,687,1885,509347,2.64,0.831,0.388,0.968,0.936,0.893,0.476,0.057,0.081,0.65,0.613,7986312,16500620,2689865,20732341,14704,24.3,89457,46460,0.116,34489,19819,6912,8382,22317,1971,28798,4255.9,4020.4,325.88,325.19,666000
Jersey City,283927,292412,-0.029,292449,247597,0.075,0.208,0.114,0.497,0.321,0.225,0.006,0.254,0,0.097,0.275,0.224,4243,0.416,0.296,437200,2895,1016,1611,115654,2.46,0.865,0.521,0.943,0.896,0.895,0.511,0.053,0.106,0.691,0.622,612459,1306925,978829,3302147,12541,36.7,81390,48404,0.161,4032,2254,829,1570,1875,74,3405,19835.1,16736.6,14.74,14.79,3436000
Dallas,1288457,1304442,-0.012,1304379,1197816,0.072,0.248,0.107,0.502,0.538,0.24,0.005,0.035,0,0.093,0.42,0.286,39806,0.238,0.414,230000,1858,622,1178,515138,2.49,0.837,0.424,0.915,0.839,0.796,0.356,0.077,0.259,0.686,0.616,5436060,18432026,10778473,20463003,15245,26.9,58231,37719,0.177,28444,16648,5422,6081,18789,1471,23192,3841.1,3517.6,339.58,340.52,4819000
Sunny Isles Beach,22064,22322,-0.012,22342,20832,0.046,0.166,0.265,0.543,0.775,0.017,0,0.015,0,0.177,0.482,0.47,594,0.634,0.52,363400,2544,1091,1754,10775,2.06,0.874,0.781,0.957,0.857,0.941,0.467,0.034,0.116,0.556,0.512,202085,19848,7043,174870,7950,34,51760,46790,0.148,520,289,102,148,282,S,442,22098.9,20518.9,1.01,1.02,1269555
Philadelphia,1576251,1603797,-0.017,1603797,1526006,0.064,0.218,0.137,0.524,0.385,0.408,0.003,0.074,0,0.053,0.154,0.338,54142,0.143,0.524,184100,1403,488,1149,646608,2.4,0.862,0.237,0.905,0.831,0.866,0.325,0.13,0.084,0.625,0.601,4480203,21515774,3885422,14973009,9466,33,52649,32344,0.228,21647,12946,3887,5268,13596,890,17856,11936.9,11379.5,134.36,134.1,4260000
Pittsburgh,300431,303160,-0.009,302971,305704,0.046,0.147,0.15,0.511,0.654,0.229,0.002,0.056,0,0.048,0.035,0.638,13072,0.09,0.474,147600,1236,490,1043,137747,2.04,0.789,0.112,0.909,0.86,0.935,0.457,0.106,0.063,0.64,0.611,1724216,8315345,449367,5116235,16963,23.9,54306,37655,0.197,7513,4530,1040,770,5356,394,5699,5471.3,5521.4,55.38,55.37,4261000
Baltimore,576498,585708,-0.016,585708,620961,0.062,0.205,0.141,0.529,0.292,0.616,0.003,0.025,0,0.039,0.056,0.273,25837,0.081,0.479,175300,1555,570,1146,244893,2.32,0.853,0.103,0.897,0.796,0.863,0.342,0.122,0.067,0.619,0.601,1980518,12756796,1558410,7175255,11746,30.7,54124,34378,0.203,9918,5695,1770,2603,5699,576,7668,7235.8,7671.5,80.95,80.94,2404000
Phoenix,1624569,1607739,0.01,1608139,1445632,0.068,0.253,0.111,0.497,0.644,0.073,0.021,0.039,0.002,0.127,0.427,0.414,68230,0.192,0.561,277700,1580,481,1175,579876,2.71,0.847,0.369,0.949,0.875,0.835,0.306,0.081,0.161,0.681,0.625,4789345,15036382,8643528,27061685,16565,26,64927,33718,0.154,27755,15090,4904,4009,20421,1668,22286,3104.5,2797.8,518,516.7,455000
